,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
248,ajdabiya,0,LY,1616295441,26,30.7554,20.2263,69.03,14.34
249,tuy hoa,40,PH,1616295442,62,14.0183,120.7296,89.6,5.75
250,gladstone,40,AU,1616295442,74,-23.85,151.25,82.4,14.97
251,strenci,100,LV,1616295374,96,57.6257,25.6854,30.99,7.0
252,vardo,87,NO,1616295444,88,70.3705,31.1107,30.69,14.74
253,hasaki,75,JP,1616295445,94,35.7333,140.8333,64.4,18.41
254,constitucion,94,CL,1616295445,79,-35.3333,-72.4167,55.47,5.37
255,inuvik,44,CA,1616295446,59,68.3499,-133.7218,-4.0,4.61
256,namatanai,88,PG,1616295446,63,-3.6667,152.4333,86.76,7.81
257,axim,85,GH,1616295447,85,4.8699,-2.2405,78.82,4.85
258,sarahan,0,IN,1616295448,29,31.5167,77.8,54.0,5.73
259,ngunguru,100,NZ,1616295449,65,-35.6167,174.5,63.82,11.36
260,broome,1,US,1616295449,33,42.2506,-75.833,44.6,4.61
261,katsuura,75,JP,1616295450,94,35.1333,140.3,64.99,14.97
262,mahajanga,40,MG,1616295450,94,-15.7167,46.3167,75.2,4.61
263,tiarei,20,PF,1616295451,70,-17.5333,-149.3333,86.0,12.66
264,victoria,97,HK,1616295186,76,22.2855,114.1577,73.99,1.01
265,klintsy,32,RU,1616295452,84,52.7602,32.2393,24.89,10.87
266,opuwo,99,NA,1616295452,89,-18.0607,13.84,67.51,1.16
267,aizkraukle,100,LV,1616295374,95,56.6048,25.2553,32.0,8.99
268,komsomolskiy,100,UZ,1616295454,87,40.4272,71.7189,50.0,4.61
269,roald,90,NO,1616295455,93,62.5833,6.1333,34.0,17.27
270,lingyuan,0,CN,1616295455,20,41.24,119.4011,38.37,20.31
271,bull savanna,63,LR,1616295455,93,6.1992,-10.2829,75.04,2.44
272,college,1,US,1616295456,35,64.8569,-147.8028,21.2,8.05
273,ambilobe,0,MG,1616295456,93,-13.2,49.05,72.25,2.82
274,padang,20,ID,1616295269,70,-0.9492,100.3543,86.0,3.44
275,northampton,5,US,1616295457,77,40.8754,-75.2499,39.99,3.06
276,ostrovnoy,92,RU,1616295458,91,68.0531,39.5131,16.9,8.99
277,bandarbeyla,27,SO,1616295458,77,9.4942,50.8122,75.97,8.84
278,pisco,0,PE,1616295294,73,-13.7,-76.2167,69.8,10.36
279,filingue,76,NE,1616295460,13,14.3521,3.3168,79.34,2.68
280,nelson bay,0,NZ,1616295460,52,-41.2833,173.2833,66.99,1.01
281,lujan,28,AR,1616295461,89,-34.5703,-59.105,62.01,1.01
282,novopokrovka,0,UA,1616295461,86,49.8425,36.5477,28.4,4.47
283,sambava,90,MG,1616295465,87,-14.2667,50.1667,74.93,7.9
284,imeni poliny osipenko,100,NG,1616295465,87,7.3199,5.9646,73.8,3.91
285,cabo san lucas,40,BR,1616295366,73,-8.2833,-35.0333,77.0,5.75
286,nianzishan,64,CN,1616295467,34,47.5167,122.8833,37.27,17.16
287,sao filipe,19,IN,1616295432,28,20.5113,76.2129,83.26,9.69
288,kupino,36,RU,1616295470,85,54.3663,77.2981,29.41,21.92
289,vanimo,100,PG,1616295470,81,-2.6741,141.3028,82.2,4.27
290,chapais,1,CA,1616295471,48,49.7834,-74.8492,37.4,6.91
291,karasjok,75,NO,1616295471,64,69.4719,25.5112,30.2,18.41
292,yuzhno-kurilsk,100,RU,1616295472,96,44.0306,145.8556,31.75,19.91
293,ngama,52,TD,1616295472,23,11.7833,17.1667,83.5,8.63
294,hualmay,98,PE,1616295472,76,-11.0964,-77.6139,71.37,7.81
295,paita,3,PE,1616295473,78,-5.0892,-81.1144,75.2,8.32
296,aykhal,100,RU,1616295473,97,66.0,111.5,-27.92,36.1
297,dzerzhinsk,40,RU,1616295474,73,56.2389,43.4631,12.2,6.71
298,mendeleyevo,0,RU,1616295474,80,56.0333,37.2167,23.0,11.18
299,konyshevka,20,RU,1616295475,93,51.8418,35.2941,24.8,2.24
300,mugumu,5,TZ,1616295475,74,-1.85,34.7,61.32,5.57
301,tiksi,100,RU,1616295476,97,71.6872,128.8694,-14.31,12.01
302,atar,0,MR,1616295476,17,20.5169,-13.0499,66.47,10.0
303,port moresby,8,CD,1616295324,77,-7.0349,29.7638,71.94,5.26
304,pangnirtung,8,CA,1616295477,90,66.1451,-65.7125,-16.85,1.79
305,vao,5,NC,1616295477,75,-22.6667,167.4833,76.32,16.82
306,gagino,2,RU,1616295478,91,55.2314,45.0339,11.75,8.5
307,excelsior springs,1,US,1616295478,43,44.9033,-93.5664,51.01,13.8
308,touros,20,BR,1616295191,83,-5.1989,-35.4608,77.0,2.3
309,huaicheng,100,CN,1616295479,71,23.9051,112.1931,58.24,4.92
310,westport,1,US,1616295479,65,41.1415,-73.3579,42.8,9.22
311,mikumi,12,TZ,1616295480,97,-7.4041,36.9831,67.77,1.14
312,kalmunai,56,LK,1616295480,75,7.4167,81.8167,81.73,2.19
313,petro-slavyanka,90,RU,1616295481,93,59.8022,30.5069,28.99,8.95
314,anar darreh,90,FI,1616295481,93,68.906,27.0288,26.6,2.3
315,rajura,80,IN,1616295482,29,19.7833,79.3667,84.13,1.14
316,fortuna,20,US,1616295482,81,40.5982,-124.1573,48.0,10.36
317,mackenzie,90,CA,1616295483,43,55.2999,-123.1698,30.2,9.22
318,assiniboia,100,CA,1616295483,52,49.6334,-105.9845,41.0,5.75
319,sibu,40,MY,1616295483,83,2.3,111.8167,82.4,6.91
320,intipuca,96,SV,1616295484,55,13.1969,-88.0544,83.16,4.99
321,riyadh,0,SA,1616295195,27,24.6877,46.7219,62.6,2.3
322,lamu,20,KE,1616295484,89,-2.2717,40.902,78.8,7.4
323,severodvinsk,90,RU,1616295247,93,64.5635,39.8302,21.2,4.47
324,estrela,75,BR,1616295485,98,-28.0611,-50.9383,64.17,3.85
325,loubomo,100,CG,1616295486,96,-4.1997,12.6739,71.74,4.03
326,weiser,1,US,1616295486,40,44.251,-116.9693,48.2,16.11
327,yeppoon,90,AU,1616295486,65,-23.1333,150.7333,84.2,10.36
328,kodiak,90,US,1616295487,80,57.79,-152.4072,35.6,13.8
329,ngorongoro,49,TZ,1616295487,95,-3.2397,35.4875,51.13,5.55
330,port hardy,8,CD,1616295488,77,-7.0349,29.7638,71.94,5.26
331,srandakan,2,ID,1616295488,67,-7.9386,110.2506,85.37,9.1
332,sorong,100,ID,1616295489,78,-0.8833,131.25,82.47,5.03
333,nushki,0,PK,1616295489,39,29.5542,66.0215,67.98,5.32
334,abohar,63,IN,1616295489,27,30.15,74.1833,77.22,3.02
335,olafsvik,100,IS,1616295490,81,64.8945,-23.7142,41.67,30.11
336,rylsk,29,RU,1616295490,87,51.5655,34.6822,26.42,7.29
337,paamiut,100,GL,1616295491,91,61.994,-49.6678,23.58,26.19
338,borovichi,100,RU,1616295491,89,58.3878,33.9155,22.77,11.59
339,kamaishi,75,JP,1616295491,93,39.2667,141.8833,44.6,20.92
340,palu,100,ID,1616295492,49,-0.8917,119.8707,92.64,3.15
341,sinnamary,28,GF,1616295492,88,5.3833,-52.95,76.55,7.92
342,bilibino,0,RU,1616295493,72,68.0546,166.4372,-9.33,1.3
343,taoudenni,0,ML,1616295493,12,22.6783,-3.9836,65.44,9.19
344,tautira,20,PF,1616295493,70,-17.7333,-149.15,86.0,12.66
345,panuco,1,MX,1616295494,74,22.05,-98.1667,63.55,6.4
346,salinopolis,37,BR,1616295494,84,-0.6136,-47.3561,77.77,5.41
347,menongue,100,AO,1616295495,94,-14.6585,17.691,63.79,1.88
348,roebourne,0,AU,1616295495,42,-20.7833,117.1333,84.76,18.12
349,thana bhawan,100,PK,1616295496,61,34.6369,72.0739,62.83,4.34
350,puerto cortes,0,ES,1616295376,70,36.5939,-6.233,46.0,8.05
351,maniitsoq,98,GL,1616295497,78,65.4167,-52.9,23.74,7.65
352,ilulissat,90,GL,1616295497,73,69.2167,-51.1,17.6,4.61
353,fonte boa,0,IT,1616295497,75,45.7839,11.8746,33.8,4.61
354,ancud,0,CL,1616295498,85,-41.8697,-73.8203,48.99,5.01
355,moindou,0,NC,1616295498,58,-21.6924,165.677,84.2,21.85
356,zaraza,26,VE,1616295499,76,9.3503,-65.3245,75.94,8.81
357,akdepe,75,TM,1616295499,87,42.0551,59.3788,42.8,4.61
358,champerico,2,GT,1616295500,92,14.3,-91.9167,64.0,4.09
359,hays,0,US,1616295500,62,30.0502,-98.0336,57.0,6.76
360,tornio,90,FI,1616295500,100,65.8481,24.1466,30.2,9.22
361,novoorsk,90,RU,1616295501,86,51.381,58.9813,26.6,6.71
362,inirida,100,CO,1616295501,87,3.8653,-67.9239,75.27,2.73
363,saldanha,0,ZA,1616295502,77,-33.0117,17.9442,59.0,8.05
364,pasan,15,IN,1616295502,21,22.85,82.2,82.22,2.21
365,tezu,90,IN,1616295502,21,27.9167,96.1667,93.0,0.83
366,dingle,99,PH,1616295503,67,10.9995,122.6711,87.19,11.01
367,poum,24,NC,1616295503,74,-20.2333,164.0167,79.74,10.07
368,asau,75,RO,1616295504,67,46.4333,26.4,28.99,1.61
369,leningradskiy,100,RU,1616295504,90,69.3833,178.4167,-8.05,4.16
370,mianwali,100,PK,1616295505,59,32.5741,71.5264,70.21,7.11
371,chara,39,RU,1616295505,73,56.9064,118.2631,18.21,6.89
372,donskoye,75,RU,1616295505,93,45.4552,41.9741,32.0,11.18
373,zaqatala,75,AZ,1616295506,75,41.6336,46.6433,39.2,6.91
374,kyzyl,100,RU,1616295506,77,51.7,94.45,15.98,0.85
375,kemijarvi,100,FI,1616295507,95,66.7131,27.4306,27.32,12.55
376,buchanan,30,LR,1616295507,89,5.8808,-10.0467,77.29,3.87
377,ivybridge,31,GB,1616295508,90,50.3904,-3.9191,48.0,3.0
378,rairangpur,0,IN,1616295508,61,22.2676,86.1751,77.0,4.38
379,beira,20,MZ,1616295509,88,-19.8436,34.8389,75.2,4.61
380,vestmannaeyjar,100,IS,1616295509,76,63.4427,-20.2734,43.77,17.87
381,umea,90,SE,1616295247,64,63.8284,20.2597,35.6,29.93
382,port blair,8,CD,1616295324,77,-7.0349,29.7638,71.94,5.26
383,waipawa,62,NZ,1616295510,63,-41.4122,175.5153,64.99,14.97
384,auki,99,SB,1616295510,74,-8.7676,160.7034,82.74,2.3
385,moba,100,CN,1616295511,28,33.2288,105.0179,37.9,2.44
386,synya,91,RU,1616295511,96,65.3718,58.0387,8.37,3.27
387,calama,0,CL,1616295512,54,-22.4667,-68.9333,55.4,12.66
388,pacific grove,0,US,1616295418,66,38.482,-90.7415,52.0,5.97
389,kudahuvadhoo,99,MV,1616295512,71,2.6708,72.8944,82.08,6.24
390,omboue,100,GA,1616295513,91,-1.5746,9.2618,74.41,3.65
391,linxia,100,CN,1616295513,39,35.6003,103.2064,34.57,2.89
392,solnechnyy,100,RU,1616295514,87,50.7214,136.6319,29.5,3.89
393,valea nucarilor,100,RO,1616295514,89,45.1087,25.2617,28.99,5.08
394,gravdal,100,NO,1616295514,72,68.1214,13.5031,30.49,30.18
395,mae sai,0,CN,1616295515,37,34.8244,108.9303,48.2,6.71
396,brownsville,1,US,1616295515,67,25.9018,-97.4975,62.6,6.91
397,aboso,71,GH,1616295516,92,5.3617,-1.9473,74.68,2.33
398,ukiah,1,US,1616295516,54,39.1502,-123.2078,51.8,8.05
399,sehithwa,2,BW,1616295516,54,-20.4667,22.7167,69.28,4.79
400,thinadhoo,89,MV,1616295517,71,0.5333,72.9333,82.71,7.05
401,alihe,0,CN,1616295517,53,50.5667,123.7167,30.6,5.84
402,hobyo,54,SO,1616295518,74,5.3505,48.5268,79.12,14.47
403,pauini,100,BR,1616295518,99,-7.7136,-66.9764,69.51,2.1
404,phan rang,6,TH,1616295518,69,19.5539,99.7405,78.8,2.3
405,auburn,75,US,1616295519,57,47.3073,-122.2284,46.4,14.97
406,aksu,66,CN,1616295519,34,41.1231,80.2644,44.71,3.04
407,mercedes,9,AR,1616295520,99,-34.6515,-59.4307,62.01,4.94
408,saint-louis,66,SN,1616295520,33,16.3333,-15.0,70.54,12.33
409,haines junction,90,US,1616295520,80,59.2286,-135.4441,24.8,10.36
410,tual,67,ID,1616295521,66,-5.6667,132.75,84.22,3.51
411,tete,40,MZ,1616295521,94,-16.1564,33.5867,75.2,3.47
412,solenzo,8,BF,1616295522,44,12.1833,-4.0833,80.83,7.2
413,udachnyy,100,RU,1616295522,91,66.4167,112.4,-20.74,29.33
414,huarmey,100,PE,1616295522,77,-10.0681,-78.1522,72.14,6.98
415,mount isa,86,GB,1616295523,88,53.6597,-1.8537,44.01,4.32
416,coahuayana,0,MX,1616295523,76,18.7333,-103.6833,70.18,1.66
417,vorotynets,6,RU,1616295524,94,56.0603,45.8633,10.53,7.34
418,taltal,0,CL,1616295524,78,-25.4,-70.4833,65.44,4.76
419,barranca,99,PE,1616295445,80,-10.75,-77.7667,69.96,5.23
420,kathu,20,TH,1616295379,70,7.9178,98.3332,88.0,8.05
421,waingapu,100,ID,1616295525,72,-9.6567,120.2641,85.93,10.38
422,vikevag,40,NO,1616295525,60,59.0976,5.6969,41.0,25.32
423,nouadhibou,98,MR,1616295526,67,20.931,-17.0347,62.6,19.57
424,san jeronimo,13,ML,1616295358,45,13.3034,-4.8956,82.81,9.06
425,mauganj,0,IN,1616295387,21,24.6833,81.8833,84.47,6.42
426,nantucket,0,US,1616295527,75,41.2835,-70.0995,36.0,13.15
427,souillac,40,MU,1616295527,89,-20.5167,57.5167,78.8,10.36
428,toyooka,75,JP,1616295527,100,35.5333,134.8333,51.8,5.75
429,kibala,100,TD,1616295528,48,9.1104,18.3463,78.49,3.33
430,caravelas,69,BR,1616295528,90,-17.7125,-39.2481,75.25,5.91
431,tabatinga,40,BR,1616295529,100,-4.2525,-69.9381,77.0,3.44
432,posyet,100,RU,1616295529,99,42.6508,130.8046,34.11,2.93
433,pombia,75,IT,1616295530,80,45.653,8.6336,37.0,5.75
434,stornoway,90,GB,1616295530,81,58.2093,-6.3865,44.01,8.05
435,puerto carreno,0,ES,1616295400,70,36.5939,-6.233,46.0,8.05
436,outjo,58,NA,1616295531,72,-20.1167,16.15,66.74,5.32
437,calvinia,0,ZA,1616295531,63,-31.4707,19.776,59.0,10.36
438,boden,90,SE,1616295247,86,65.8252,21.6886,33.8,27.63
439,wenling,100,CN,1616295533,74,28.3669,121.36,57.0,12.8
440,hay river,81,GB,1616295534,82,52.0705,-3.1274,46.99,4.79
441,kamenka,92,RU,1616295534,95,51.3223,42.7678,18.93,4.74
442,pozo colorado,75,CU,1616295534,83,22.4497,-80.1794,69.8,3.44
443,gubbio,60,IT,1616295535,70,43.3545,12.5725,37.0,5.01
444,chipata,80,ZM,1616295535,95,-13.6333,32.65,63.03,5.1
445,yulara,90,AU,1616295536,94,-25.2406,130.9889,66.2,10.36
446,nizhniy tsasuchey,100,RU,1616295536,93,45.3926,39.2364,35.01,4.47
447,necochea,0,AR,1616295537,82,-38.5473,-58.7368,61.0,4.0
448,okha,100,RU,1616295537,77,53.5739,142.9478,27.88,16.44
449,malanje,100,AO,1616295538,96,-9.5402,16.341,65.68,3.13
450,aswan,0,EG,1616295538,22,24.0934,32.907,73.27,4.09
451,lasa,0,IT,1616295538,79,46.6166,10.7002,30.99,10.36
452,svetlogorsk,99,BY,1616295539,59,52.6333,29.7333,26.96,11.97
453,dongli,90,CN,1616295539,88,23.5656,116.8194,66.2,8.95
454,sacramento,1,US,1616295319,38,38.4666,-121.3177,57.2,8.05
455,guerrero negro,0,MX,1616295540,68,17.6667,-100.0,68.22,5.95
456,leninskoye,90,KZ,1616295540,100,41.7589,69.3864,46.4,6.91
457,pljevlja,90,ME,1616295541,100,43.3333,19.3333,26.6,6.91
458,bitung,40,ID,1616295541,83,1.4451,125.1824,80.6,3.44
459,nemuro,75,JP,1616295541,100,43.3236,145.575,30.2,12.66
460,santa cruz,14,PH,1616295542,55,17.486,120.4348,89.73,4.9
461,nam tha,100,CN,1616295542,63,29.424,90.9129,36.91,1.52
462,churapcha,100,RU,1616295543,80,62.0025,132.4325,22.75,14.38
463,areka,79,ET,1616295543,37,7.0667,37.7,59.34,6.49
464,bathsheba,40,BB,1616295544,61,13.2167,-59.5167,77.0,17.27
465,magdalena,87,PH,1616295544,68,14.1999,121.429,89.01,5.99
466,sakakah,0,SA,1616295544,25,29.9697,40.2064,64.4,10.36
467,awbari,0,LY,1616295545,10,26.5921,12.7805,69.26,14.65
468,balkanabat,87,TM,1616295545,48,39.5108,54.3671,50.88,3.4
469,lugo,0,ES,1616295546,79,43.0,-7.5,32.0,1.16
470,moussoro,16,TD,1616295546,25,13.6408,16.4901,83.55,9.26
471,kulhudhuffushi,81,MV,1616295547,67,6.6221,73.07,83.32,7.52
472,faya,0,SA,1616295547,30,18.3851,42.4509,59.0,3.6
473,hofn,100,IS,1616295547,75,64.2539,-15.2082,41.07,16.11
474,yeniseysk,100,RU,1616295548,85,58.4497,92.1703,31.96,9.66
475,samarai,97,PG,1616295548,74,-10.6167,150.6667,84.54,10.54
476,satun,40,TH,1616295549,66,6.8333,100.0,89.6,8.05
477,thayetmyo,0,MM,1616295549,27,19.3167,95.1833,91.8,3.13
478,selfoss,100,IS,1616295550,95,63.9331,-20.9971,39.99,15.01
479,zapolyarnyy,90,RU,1616295550,80,69.4154,30.8136,24.8,10.36
480,zanjan,100,IR,1616295550,55,36.6736,48.4787,40.33,2.66
481,vanavara,100,RU,1616295551,84,60.34,102.2797,-14.75,8.43
482,shache,100,CN,1616295551,28,38.4167,77.2406,46.65,3.4
483,bayir,0,TR,1616295552,87,37.2687,28.2167,50.0,4.61
484,saiha,100,IN,1616295552,22,22.4833,92.9667,87.35,3.51
485,jibuti,1,DJ,1616295552,73,11.5,42.5,71.6,9.98
486,dicabisagan,59,PH,1616295553,75,17.0818,122.4157,82.98,5.26
487,itoman,75,JP,1616295553,78,26.1247,127.6694,69.8,18.41
488,kieta,97,PG,1616295554,75,-6.2167,155.6333,84.09,2.71
489,srednekolymsk,0,RU,1616295554,73,67.45,153.6833,3.96,4.52
490,klyuchi,99,RU,1616295554,81,52.2667,79.1667,34.72,18.34
491,vysotsk,100,RU,1616295555,96,60.6288,28.5705,33.01,13.8
492,san matias,13,ML,1616295358,45,13.3034,-4.8956,82.81,9.06
493,bara,75,NG,1616295555,55,10.3744,10.7288,79.61,7.83
494,zhoucheng,0,CN,1616295556,21,35.9122,116.3117,49.5,16.78
495,mangrol,0,IN,1616295556,63,21.1167,70.1167,77.54,10.76
496,shubarshi,100,KZ,1616295557,95,48.5872,57.1869,21.06,7.09
497,taft,0,IR,1616295557,21,31.7471,54.2088,48.2,1.05
498,kenai,40,US,1616295557,58,60.5544,-151.2583,24.8,24.16
499,bonito,32,BR,1616295558,97,-21.1211,-56.4819,72.43,1.99
